multi	all_ttime	all_ptime	real_time	ag_nnum	ag_enum	path_num	plan_counter	max_mem
5	0.4200000000000002	0.4100000000000002	4.38	76	117	43	177	26092
8	0.6700000000000004	0.6700000000000004	6.59	112	174	64	264	26388
11	0.8300000000000006	0.8200000000000006	8.90	148	231	85	351	26740
14	1.0900000000000007	1.0700000000000007	11.08	184	288	106	438	27080
17	1.320000000000001	1.260000000000001	13.50	220	345	127	525	27480
20	1.6900000000000013	1.6000000000000012	16.20	256	402	148	612	27836
23	2.010000000000001	1.9500000000000015	18.62	292	459	169	699	28300
26	2.3999999999999955	2.2299999999999978	21.38	328	516	190	786	28860
29	2.7999999999999945	2.709999999999994	24.46	364	573	211	873	29420
32	3.459999999999992	3.1199999999999894	27.34	400	630	232	960	30012
35	3.8999999999999893	3.759999999999988	30.63	436	687	253	1047	30696
38	4.449999999999981	4.339999999999983	34.17	472	744	274	1134	31380
41	4.98999999999997	4.869999999999972	38.08	508	801	295	1221	32296
44	5.7899999999999565	5.58999999999996	41.59	544	858	316	1308	32976
47	6.679999999999943	6.329999999999948	46.25	580	915	337	1395	33768
50	7.349999999999929	7.249999999999932	50.53	616	972	358	1482	34620
53	8.21999999999991	7.999999999999914	55.43	652	1029	379	1569	35616
56	9.24999999999991	8.869999999999903	60.44	688	1086	400	1656	36508
59	10.509999999999906	10.209999999999907	65.93	724	1143	421	1743	37552
62	11.439999999999902	11.189999999999902	72.35	760	1200	442	1830	38488
65	12.599999999999893	12.239999999999892	77.95	796	1257	463	1917	39596
68	14.109999999999872	13.699999999999873	83.46	832	1314	484	2004	40628
71	15.709999999999852	15.26999999999986	90.35	868	1371	505	2091	41796
74	17.089999999999872	16.69999999999986	98.81	904	1428	526	2178	42960
77	18.759999999999877	18.27999999999988	106.33	940	1485	547	2265	44164
80	20.75999999999985	20.209999999999877	113.98	976	1542	568	2352	45560
83	22.47999999999982	21.87999999999984	122.16	1012	1599	589	2439	46768
86	24.78999999999974	24.229999999999762	130.65	1048	1656	610	2526	48096
89	26.949999999999704	26.3099999999997	139.84	1084	1713	631	2613	49476
